date;hour;value
23/02/2022;11;979
23/02/2022;12;838
23/02/2022;13;851
23/02/2022;14;703
23/02/2022;15;841
23/02/2022;16;845
23/02/2022;17;705
23/02/2022;18;832
23/02/2022;19;862
23/02/2022;20;547
23/02/2022;21;358
23/02/2022;22;141
23/02/2022;23;66
23/02/2022;24;20
24/02/2022;9;296
24/02/2022;10;826
24/02/2022;11;983
24/02/2022;12;1.029
24/02/2022;13;815
24/02/2022;14;602
24/02/2022;15;785
24/02/2022;16;770
24/02/2022;17;755
24/02/2022;18;751
24/02/2022;19;766
24/02/2022;20;509
24/02/2022;21;290
24/02/2022;22;153
24/02/2022;23;78
24/02/2022;24;19
25/02/2022;9;276
25/02/2022;10;994
25/02/2022;11;1.190
25/02/2022;12;981
25/02/2022;13;848
25/02/2022;14;667
25/02/2022;15;718
25/02/2022;16;732
25/02/2022;17;840
25/02/2022;18;866
25/02/2022;19;828
25/02/2022;20;519
25/02/2022;21;319
25/02/2022;22;179
25/02/2022;23;85
25/02/2022;24;19
26/02/2022;9;214
26/02/2022;10;596
26/02/2022;11;643
26/02/2022;12;707
26/02/2022;13;604
26/02/2022;14;446
26/02/2022;15;423
26/02/2022;16;388
26/02/2022;17;480
26/02/2022;18;479
26/02/2022;19;419
26/02/2022;20;293
26/02/2022;21;128
26/02/2022;22;78
26/02/2022;23;41
26/02/2022;24;15
27/02/2022;9;90
27/02/2022;10;143
27/02/2022;11;256
27/02/2022;12;212
27/02/2022;13;199
27/02/2022;14;148
27/02/2022;15;167
27/02/2022;16;156
27/02/2022;17;135
27/02/2022;18;195
27/02/2022;19;217
27/02/2022;20;140
27/02/2022;21;126
27/02/2022;22;73
27/02/2022;23;37
27/02/2022;24;26
28/02/2022;9;312
28/02/2022;10;889
28/02/2022;11;1.128
28/02/2022;12;1.112
28/02/2022;13;892
28/02/2022;14;783
28/02/2022;15;819
28/02/2022;16;783
28/02/2022;17;751
28/02/2022;18;751
28/02/2022;19;841
28/02/2022;20;595
28/02/2022;21;318
28/02/2022;22;150
28/02/2022;23;65
28/02/2022;24;17
01/03/2022;9;348
01/03/2022;10;776
01/03/2022;11;1.001
01/03/2022;12;1.071
01/03/2022;13;920
01/03/2022;14;705
01/03/2022;15;765
01/03/2022;16;718
01/03/2022;17;752
01/03/2022;18;748
01/03/2022;19;584
01/03/2022;20;476
01/03/2022;21;403
01/03/2022;22;248
01/03/2022;23;208
01/03/2022;24;130
02/03/2022;9;305
02/03/2022;10;664
02/03/2022;11;831
02/03/2022;12;964
02/03/2022;13;975
02/03/2022;14;725
02/03/2022;15;740
02/03/2022;16;672
02/03/2022;17;914
02/03/2022;18;914
02/03/2022;19;867
02/03/2022;20;571
02/03/2022;21;309
02/03/2022;22;172
02/03/2022;23;113
02/03/2022;24;19
03/03/2022;9;274
03/03/2022;10;747
03/03/2022;11;1.014
03/03/2022;12;817
03/03/2022;13;868
03/03/2022;14;681
03/03/2022;15;756
03/03/2022;16;702
03/03/2022;17;694
03/03/2022;18;797
03/03/2022;19;795
03/03/2022;20;581
03/03/2022;21;307
03/03/2022;22;146
03/03/2022;23;70
03/03/2022;24;19
04/03/2022;9;259
04/03/2022;10;804
04/03/2022;11;930
04/03/2022;12;876
04/03/2022;13;763
04/03/2022;14;731
04/03/2022;15;737
04/03/2022;16;682
04/03/2022;17;739
04/03/2022;18;629
04/03/2022;19;698
04/03/2022;20;461
04/03/2022;21;328
04/03/2022;22;152
04/03/2022;23;70
04/03/2022;24;29
05/03/2022;9;210
05/03/2022;10;481
